tau (s),gamma (Ohms)
1e-05,2.690654153154923e-29
1.0708774584917523e-05,1.7000728199187107e-28
1.1467785311057547e-05,1.0417280032301901e-27
1.2280592788434356e-05,6.190394448996159e-27
1.3151009994050724e-05,3.5674629918669026e-26
1.4083120159028647e-05,1.993782591329847e-25
1.5081295923534558e-05,1.0806207246356334e-24
1.6150219849356713e-05,5.6799688613651e-24
1.729490638636217e-05,2.8953147787142336e-23
1.8520725395880295e-05,1.4312740241812546e-22
1.9833427341363943e-05,6.861624724525468e-22
2.1239170264500654e-05,3.190129439576083e-21
2.274454867332206e-05,1.4383574218042226e-20
2.4356624477829082e-05,6.289302784801812e-20
2.6082960118255562e-05,2.6669529851022637e-19
2.793165404137925e-05,1.0967443054091806e-18
2.991137869130309e-05,4.373937663355791e-18
3.203142119292701e-05,1.6916751274474618e-17
3.4301726918960534e-05,6.345100616492852e-17
3.673294614485458e-05,2.3080076200915786e-16
3.933648401051629e-05,8.141663350794561e-16
4.212455402318313e-05,2.7852630803415263e-15
4.5110235352444876e-05,9.240521581845653e-15
4.830753418619086e-05,2.973061776023577e-14
5.1731449435311514e-05,9.276594411138545e-14
5.539804309538099e-05,2.807051604957594e-13
5.932451559539817e-05,8.237386097345359e-13
6.352928648705432e-05,2.3442593265954896e-12
6.803208085305114e-05,6.4699227523054674e-12
7.285402183982082e-05,1.7316884553000447e-11
7.801772974872995e-05,4.494875470322731e-11
8.35474281506163e-05,1.1314694166062245e-10
8.946905752145408e-05,2.762137210222635e-10
9.581039693222714e-05,6.539205377491552e-10
0.00010260119436386938,1.5013503180050728e-09
0.00010987330625859875,3.3428468517439256e-09
0.00011766084696229417,7.218190744661614e-09
0.0001260003487589686,1.5115333584319548e-08
0.00013493093324807873,3.069620763671616e-08
0.00014449449486862284,6.045461341659615e-08
0.0001547358974309602,1.1546545906019029e-07
0.00016570318457830713,2.1387148250735934e-07
0.00017744780516520725,3.8417770837658776e-07
0.0001900248546102566,6.692531078530576e-07
0.00020349333335529631,1.1306501362557474e-06
0.00021791642364353466,1.8524505371455028e-06
0.00023336178591500041,2.9433836583599893e-06
0.00024990187620975207,4.535560124462609e-06
0.00026761428606781977,6.778000350809055e-06
0.0002865821065203916,9.82342544508069e-06
0.0003068943178797693,1.3807691115034308e-05
0.0003286462071566473,1.882282615653128e-05
0.000351939815062864,2.4886709253052978e-05
0.00037688441469657717,3.1914543762943065e-05
0.00040359702415542224,3.969882074141234e-05
0.00043220295548239293,4.790469272022756e-05
0.00046283640251960884,5.608609996922505e-05
0.0004956410704276645,6.37245221433853e-05
0.0005307708498237089,7.028739360194477e-05
0.0005683905387007204,7.529810959129907e-05
0.0006086766155145854,7.840556752166243e-05
0.0006518180670656201,7.943963387526953e-05
0.0006980172750582377,7.844055138980887e-05
0.0007474909654977041,7.565498940411626e-05
0.0008004712253777274,7.149817857863777e-05
0.0008572065914282794,6.6488711004159e-05
0.0009179632160310939,6.116832888834994e-05
0.0009830261157722931,5.602195176846471e-05
0.0010527005084892513,5.1412662926535466e-05
0.001127313245083945,4.7542664143578566e-05
0.0012072143428195849,4.4445361030669836e-05
0.0012927786272934265,4.2007236459993336e-05
0.0013844074907884412,4.001250096193423e-05
0.0014825307752524698,3.8199826333553956e-05
0.0015876087887381721,3.6319354156452675e-05
0.0017001344647631033,3.4179577450926044e-05
